,AQI,CO,Date,Hour,Level,NO2,O3_1h,O3_8h,PM10,PM25,PrimaryPollution,SO2,WatchPoint,_id,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
187,90,0.8,20200412,22,良,71,9,66,130,49,颗粒物(PM10),10,第一医院,5e93302a690d8b21f9296e74,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.8379888268156425
233,29,0.5,20200412,22,优,13,92,90,14,14,NaN,10,市环保局,5e933058690d8b21f9296ea5,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.10335195530726257
160,77,0.7,20200412,22,良,29,103,117,88,56,细颗粒物(PM2.5),10,市环境监测站,5e93300f690d8b21f9296e58,0.7458100558659218,0.7458100558659218,0.7458100558659218,0.7458100558659218,0.7458100558659218,0.7458100558659218,0.7458100558659218,0.7458100558659218
173,50,0.4,20200412,22,优,12,126,120,44,35,NaN,10,柳东小学,5e93301d690d8b21f9296e66,0.3324022346368715,0.3324022346368715,0.3324022346368715,0.3324022346368715,0.3324022346368715,0.3324022346368715,0.3324022346368715,0.3324022346368715
321,130,0.8,20200412,22,轻度污染,35,92,122,150,99,细颗粒物(PM2.5),10,西炮台,5e9330b0690d8b21f9296efe,0.03910614525139665,0.03910614525139665,0.03910614525139665,0.03910614525139665,0.03910614525139665,0.03910614525139665,0.03910614525139665,0.03910614525139665
60,53,0.7,20200412,22,良,23,110,116,55,21,颗粒物(PM10),10,综合楼,5e932f92690d8b21f9296df3,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746
261,52,0.9,20200412,22,良,34,75,106,53,27,颗粒物(PM10),10,永明路,5e933074690d8b21f9296ec1,0.38268156424581007,0.38268156424581007,0.38268156424581007,0.38268156424581007,0.38268156424581007,0.38268156424581007,0.38268156424581007,0.38268156424581007
65,64,0.6,20200412,22,良,28,87,114,70,46,细颗粒物(PM2.5),10,沈抚新城,5e932f97690d8b21f9296df8,0.6256983240223464,0.6256983240223464,0.6256983240223464,0.6256983240223464,0.6256983240223464,0.6256983240223464,0.6256983240223464,0.6256983240223464
25,72,0.6,20200412,22,良,54,64,91,94,41,颗粒物(PM10),10,市环保局,5e932f70690d8b21f9296dcf,0.7094972067039106,0.7094972067039106,0.7094972067039106,0.7094972067039106,0.7094972067039106,0.7094972067039106,0.7094972067039106,0.7094972067039106
110,76,0.6,20200412,22,良,16,132,127,101,36,颗粒物(PM10),10,同仁县隆务镇,5e932fdf690d8b21f9296e25,0.7402234636871509,0.7402234636871509,0.7402234636871509,0.7402234636871509,0.7402234636871509,0.7402234636871509,0.7402234636871509,0.7402234636871509
288,82,0.9,20200412,22,良,132,4,102,104,60,细颗粒物(PM2.5),10,高压开关厂,5e93308e690d8b21f9296edd,0.7988826815642458,0.7988826815642458,0.7988826815642458,0.7988826815642458,0.7988826815642458,0.7988826815642458,0.7988826815642458,0.7988826815642458
265,63,0.9,20200412,22,良,36,42,87,64,45,细颗粒物(PM2.5),10,光明,5e933078690d8b21f9296ec5,0.6005586592178771,0.6005586592178771,0.6005586592178771,0.6005586592178771,0.6005586592178771,0.6005586592178771,0.6005586592178771,0.6005586592178771
77,46,0.6,20200412,22,优,14,105,104,46,23,NaN,10,德智高中,5e932fa3690d8b21f9296e04,0.276536312849162,0.276536312849162,0.276536312849162,0.276536312849162,0.276536312849162,0.276536312849162,0.276536312849162,0.276536312849162
39,81,0.8,20200412,22,良,33,74,113,111,43,颗粒物(PM10),10,金泉两河,5e932f7e690d8b21f9296dde,0.7932960893854749,0.7932960893854749,0.7932960893854749,0.7932960893854749,0.7932960893854749,0.7932960893854749,0.7932960893854749,0.7932960893854749
130,60,0.9,20200412,22,良,64,38,118,70,28,颗粒物(PM10),10,科干所,5e932ff1690d8b21f9296e39,0.5642458100558659,0.5642458100558659,0.5642458100558659,0.5642458100558659,0.5642458100558659,0.5642458100558659,0.5642458100558659,0.5642458100558659
21,53,0.7,20200412,22,良,17,82,96,55,33,颗粒物(PM10),10,牛尾岭水库,5e932f6c690d8b21f9296dcb,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.39664804469273746
142,160,1.3,20200412,22,中度污染,59,47,96,269,64,颗粒物(PM10),10,仓门街子站,5e932ffd690d8b21f9296e45,0.061452513966480445,0.061452513966480445,0.061452513966480445,0.061452513966480445,0.061452513966480445,0.061452513966480445,0.061452513966480445,0.061452513966480445
305,67,1.1,20200412,22,良,76,42,94,71,48,细颗粒物(PM2.5),10,监测站,5e9330a0690d8b21f9296eee,0.664804469273743,0.664804469273743,0.664804469273743,0.664804469273743,0.664804469273743,0.664804469273743,0.664804469273743,0.664804469273743
