,AQI,CO,Date,Hour,Level,NO2,O3_1h,O3_8h,PM10,PM25,PrimaryPollution,SO2,WatchPoint,_id,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
165,52,0.5,20200411,10,良,44,24,66,46,36,细颗粒物(PM2.5),-,监测站大楼,5e913617690d8b21f9293aa3,0.44571428571428573,0.44571428571428573,0.44571428571428573,0.44571428571428573,0.44571428571428573,0.44571428571428573,0.44571428571428573,0.44571428571428573
318,13,0.6,20200411,10,优,19,26,30,10,9,NaN,1,零陵南津渡,5e9136ae690d8b21f9293b43,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
105,79,0.5,20200411,10,良,17,65,67,63,58,细颗粒物(PM2.5),1,监测站,5e9135a2690d8b21f9293a61,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428
292,62,0.6,20200411,10,良,19,61,60,61,44,细颗粒物(PM2.5),1,平桥分局,5e913695690d8b21f9293b29,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285
222,36,0.5,20200411,10,优,6,86,71,36,20,NaN,1,河东子站,5e913653690d8b21f9293ade,0.2742857142857143,0.2742857142857143,0.2742857142857143,0.2742857142857143,0.2742857142857143,0.2742857142857143,0.2742857142857143,0.2742857142857143
281,13,0.6,20200411,10,优,14,27,26,10,9,NaN,1,板塘,5e91368b690d8b21f9293b1e,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
317,32,1,20200411,10,优,9,41,34,32,16,NaN,1,甘溪港,5e9136ac690d8b21f9293b42,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
229,67,0.7,20200411,10,良,26,47,44,66,48,细颗粒物(PM2.5),10,市八中,5e913659690d8b21f9293ae6,0.6742857142857143,0.6742857142857143,0.6742857142857143,0.6742857142857143,0.6742857142857143,0.6742857142857143,0.6742857142857143,0.6742857142857143
111,105,1.5,20200411,10,轻度污染,32,44,38,-,79,细颗粒物(PM2.5),10,沈家营,5e9135a7690d8b21f9293a67,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714
86,127,0.8,20200411,10,轻度污染,15,92,69,203,57,颗粒物(PM10),10,共和县恰卜恰镇,5e913591690d8b21f9293a4e,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.05142857142857143
234,105,0.6,20200411,10,轻度污染,24,27,29,160,28,颗粒物(PM10),10,艾青诗歌馆,5e91365e690d8b21f9293aeb,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714
218,62,0.8,20200411,10,良,30,113,91,73,44,"颗粒物(PM10),细颗粒物(PM2.5)",10,荣成市环保局办公楼,5e91364f690d8b21f9293ada,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285
207,73,0.6,20200411,10,良,39,69,30,95,46,颗粒物(PM10),10,李沧区子站,5e913644690d8b21f9293ace,0.7342857142857143,0.7342857142857143,0.7342857142857143,0.7342857142857143,0.7342857142857143,0.7342857142857143,0.7342857142857143,0.7342857142857143
159,173,0.7,20200411,10,中度污染,13,118,37,156,131,细颗粒物(PM2.5),10,环保局,5e91360f690d8b21f9293a9b,0.10571428571428572,0.10571428571428572,0.10571428571428572,0.10571428571428572,0.10571428571428572,0.10571428571428572,0.10571428571428572,0.10571428571428572
96,38,0.3,20200411,10,优,15,89,80,38,9,NaN,10,党校,5e91359a690d8b21f9293a58,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286
323,55,0.7,20200411,10,良,27,47,51,60,37,颗粒物(PM10),10,新市府,5e9136b2690d8b21f9293b48,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571
311,62,1.3,20200411,10,良,39,11,20,73,34,颗粒物(PM10),10,市环保局,5e9136a6690d8b21f9293b3c,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285
217,63,0.7,20200411,10,良,49,46,28,67,45,细颗粒物(PM2.5),10,监测站,5e91364e690d8b21f9293ad9,0.6257142857142857,0.6257142857142857,0.6257142857142857,0.6257142857142857,0.6257142857142857,0.6257142857142857,0.6257142857142857,0.6257142857142857
112,62,0.6,20200411,10,良,21,71,42,73,29,颗粒物(PM10),10,呼市一监,5e9135a8690d8b21f9293a68,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285,0.6085714285714285
272,119,0.7,20200411,10,轻度污染,22,-,61,187,24,颗粒物(PM10),10,农水大厦,5e913683690d8b21f9293b15,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286
277,51,0.4,20200411,10,良,18,70,48,52,19,颗粒物(PM10),10,教育园区,5e913688690d8b21f9293b1a,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144
194,51,1.1,20200411,10,良,15,43,49,51,27,颗粒物(PM10),10,州监测站,5e913636690d8b21f9293ac0,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144
336,72,1.1,20200411,10,良,26,61,50,-,52,细颗粒物(PM2.5),10,烟厂,5e9136bf690d8b21f9293b56,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
157,80,1.2,20200411,10,良,26,69,28,85,59,细颗粒物(PM2.5),11,区政府,5e91360d690d8b21f9293a99,0.7942857142857143,0.7942857142857143,0.7942857142857143,0.7942857142857143,0.7942857142857143,0.7942857142857143,0.7942857142857143,0.7942857142857143
298,77,0.4,20200411,10,良,24,55,57,68,56,细颗粒物(PM2.5),11,黄河新村,5e91369b690d8b21f9293b2f,0.7628571428571429,0.7628571428571429,0.7628571428571429,0.7628571428571429,0.7628571428571429,0.7628571428571429,0.7628571428571429,0.7628571428571429
279,60,0.5,20200411,10,良,57,18,26,66,43,细颗粒物(PM2.5),11,洪文,5e91368a690d8b21f9293b1c,0.5914285714285714,0.5914285714285714,0.5914285714285714,0.5914285714285714,0.5914285714285714,0.5914285714285714,0.5914285714285714,0.5914285714285714
110,25,0.4,20200411,10,优,20,77,82,6,6,NaN,11,黄山区政府5号楼,5e9135a6690d8b21f9293a66,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143
43,79,0.5,20200411,10,良,29,18,4,107,38,颗粒物(PM10),11,市环保局江州分局,5e913553690d8b21f9293a22,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428,0.7828571428571428
257,58,0.7,20200411,10,良,19,50,18,-,41,细颗粒物(PM2.5),11,党校,5e913673690d8b21f9293b04,0.5628571428571428,0.5628571428571428,0.5628571428571428,0.5628571428571428,0.5628571428571428,0.5628571428571428,0.5628571428571428,0.5628571428571428
325,69,2.5,20200411,10,良,28,44,22,88,44,颗粒物(PM10),11,东风水库,5e9136b4690d8b21f9293b4a,0.6971428571428572,0.6971428571428572,0.6971428571428572,0.6971428571428572,0.6971428571428572,0.6971428571428572,0.6971428571428572,0.6971428571428572
331,154,0.4,20200411,10,中度污染,16,86,86,258,40,颗粒物(PM10),11,监测站,5e9136b9690d8b21f9293b50,0.09142857142857143,0.09142857142857143,0.09142857142857143,0.09142857142857143,0.09142857142857143,0.09142857142857143,0.09142857142857143,0.09142857142857143
