,AQI,CO,Date,Hour,Level,NO2,O3_1h,O3_8h,PM10,PM25,PrimaryPollution,SO2,WatchPoint,_id,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
254,55,0.2,20200412,15,良,7,88,85,59,12,颗粒物(PM10),-,东门外小游园,5e92cde6690d8b21f92964aa,0.6089385474860335,0.6089385474860335,0.6089385474860335,0.6089385474860335,0.6089385474860335,0.6089385474860335,0.6089385474860335,0.6089385474860335
22,34,0.3,20200412,15,优,6,107,90,20,11,NaN,1,万寿西宫,5e92ccf8690d8b21f92963bc,0.10893854748603352,0.10893854748603352,0.10893854748603352,0.10893854748603352,0.10893854748603352,0.10893854748603352,0.10893854748603352,0.10893854748603352
325,46,1,20200412,15,优,5,145,99,13,5,NaN,1,甘溪港,5e92ce2b690d8b21f92964f2,0.4329608938547486,0.4329608938547486,0.4329608938547486,0.4329608938547486,0.4329608938547486,0.4329608938547486,0.4329608938547486,0.4329608938547486
188,45,0.3,20200412,15,优,8,133,121,45,25,NaN,1,省林业公司,5e92cd99690d8b21f9296465,0.4134078212290503,0.4134078212290503,0.4134078212290503,0.4134078212290503,0.4134078212290503,0.4134078212290503,0.4134078212290503,0.4134078212290503
72,44,0.8,20200412,15,优,5,139,113,27,15,NaN,1,通天岩,5e92cd25690d8b21f92963ef,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581
187,35,0.3,20200412,15,优,10,110,82,34,12,NaN,1,第一医院,5e92cd98690d8b21f9296464,0.1424581005586592,0.1424581005586592,0.1424581005586592,0.1424581005586592,0.1424581005586592,0.1424581005586592,0.1424581005586592,0.1424581005586592
162,44,0.3,20200412,15,优,8,112,95,44,14,NaN,10,宏伟区,5e92cd7f690d8b21f929644a,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581
28,56,0.4,20200412,15,良,11,140,102,62,18,颗粒物(PM10),10,沧县城建局,5e92ccfd690d8b21f92963c2,0.6396648044692738,0.6396648044692738,0.6396648044692738,0.6396648044692738,0.6396648044692738,0.6396648044692738,0.6396648044692738,0.6396648044692738
314,65,0.7,20200412,15,良,20,149,106,79,46,颗粒物(PM10),10,开发区,5e92ce21690d8b21f92964e7,0.7039106145251397,0.7039106145251397,0.7039106145251397,0.7039106145251397,0.7039106145251397,0.7039106145251397,0.7039106145251397,0.7039106145251397
60,38,0.6,20200412,15,优,12,121,96,34,9,NaN,10,综合楼,5e92cd1a690d8b21f92963e3,0.24581005586592178,0.24581005586592178,0.24581005586592178,0.24581005586592178,0.24581005586592178,0.24581005586592178,0.24581005586592178,0.24581005586592178
153,99,0.7,20200412,15,良,12,177,129,143,74,细颗粒物(PM2.5),10,环保局子站,5e92cd76690d8b21f9296441,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.8491620111731844
233,28,0.5,20200412,15,优,7,88,80,18,7,NaN,10,市环保局,5e92cdd1690d8b21f9296495,0.05027932960893855,0.05027932960893855,0.05027932960893855,0.05027932960893855,0.05027932960893855,0.05027932960893855,0.05027932960893855,0.05027932960893855
288,51,0.3,20200412,15,良,14,136,73,52,34,颗粒物(PM10),10,高压开关厂,5e92ce05690d8b21f92964cd,0.5335195530726257,0.5335195530726257,0.5335195530726257,0.5335195530726257,0.5335195530726257,0.5335195530726257,0.5335195530726257,0.5335195530726257
102,66,0.5,20200412,15,良,16,96,70,82,27,颗粒物(PM10),10,市气象局,5e92cd42690d8b21f929640d,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7150837988826816
255,85,0.5,20200412,15,良,16,144,90,119,28,颗粒物(PM10),10,监测站,5e92cde6690d8b21f92964ab,0.8240223463687151,0.8240223463687151,0.8240223463687151,0.8240223463687151,0.8240223463687151,0.8240223463687151,0.8240223463687151,0.8240223463687151
289,44,0.9,20200412,15,优,16,139,97,42,23,NaN,10,板塘,5e92ce06690d8b21f92964ce,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581,0.388268156424581
243,75,0.5,20200412,15,良,8,110,82,99,31,颗粒物(PM10),11,监测站,5e92cddb690d8b21f929649f,0.7681564245810056,0.7681564245810056,0.7681564245810056,0.7681564245810056,0.7681564245810056,0.7681564245810056,0.7681564245810056,0.7681564245810056
