_id,Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM25,PM10,CO,NO2,O3_1h,O3_8h,SO2,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
5e93d3fd8369ab4b48ecd9b6,20200413,10,清河小学,69,良,颗粒物(PM10),44,87,1,35,115,79,10,0.7068403908794788,0.7068403908794788,0.7068403908794788,0.7068403908794788,0.7068403908794788,0.7068403908794788,0.7068403908794788,0.7068403908794788
5e93d4c78369ab4b48ecda8e,20200413,10,张家港市监测站,84,良,细颗粒物(PM2.5),62,109,0.7,22,95,72,10,0.8697068403908795,0.8697068403908795,0.8697068403908795,0.8697068403908795,0.8697068403908795,0.8697068403908795,0.8697068403908795,0.8697068403908795
5e93d3b38369ab4b48ecd963,20200413,10,池州学院,58,良,颗粒物(PM10),39,65,0.4,18,113,49,10,0.5537459283387622,0.5537459283387622,0.5537459283387622,0.5537459283387622,0.5537459283387622,0.5537459283387622,0.5537459283387622,0.5537459283387622
5e93d4358369ab4b48ecd9f2,20200413,10,市环保局茂港分局,36,优,,22,36,0.5,8,89,77,10,0.2280130293159609,0.2280130293159609,0.2280130293159609,0.2280130293159609,0.2280130293159609,0.2280130293159609,0.2280130293159609,0.2280130293159609
5e93d4918369ab4b48ecda56,20200413,10,吴江市环保局,86,良,颗粒物(PM10),58,122,1,35,120,88,10,0.8827361563517915,0.8827361563517915,0.8827361563517915,0.8827361563517915,0.8827361563517915,0.8827361563517915,0.8827361563517915,0.8827361563517915
5e93d4018369ab4b48ecd9bb,20200413,10,科干所,62,良,颗粒物(PM10),22,73,0.7,17,133,92,10,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665
5e93d4538369ab4b48ecda14,20200413,10,市环保站,48,优,,24,48,0.7,18,82,68,10,0.3811074918566775,0.3811074918566775,0.3811074918566775,0.3811074918566775,0.3811074918566775,0.3811074918566775,0.3811074918566775,0.3811074918566775
5e93d42e8369ab4b48ecd9e9,20200413,10,溧阳市东门子站,80,良,细颗粒物(PM2.5),59,96,0.7,42,113,55,10,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994
5e93d3f28369ab4b48ecd9aa,20200413,10,呼市一监,61,良,颗粒物(PM10),25,72,0.9,31,58,25,10,0.6026058631921825,0.6026058631921825,0.6026058631921825,0.6026058631921825,0.6026058631921825,0.6026058631921825,0.6026058631921825,0.6026058631921825
5e93d4928369ab4b48ecda57,20200413,10,农水大厦,136,轻度污染,颗粒物(PM10),45,221,0.9,41,29,8,10,0.09446254071661238,0.09446254071661238,0.09446254071661238,0.09446254071661238,0.09446254071661238,0.09446254071661238,0.09446254071661238,0.09446254071661238
5e93d4918369ab4b48ecda55,20200413,10,监测站,74,良,细颗粒物(PM2.5),54,68,0.6,34,117,60,10,0.762214983713355,0.762214983713355,0.762214983713355,0.762214983713355,0.762214983713355,0.762214983713355,0.762214983713355,0.762214983713355
5e93d3e68369ab4b48ecd99c,20200413,10,原169医院,39,优,,27,37,0.6,22,71,26,10,0.254071661237785,0.254071661237785,0.254071661237785,0.254071661237785,0.254071661237785,0.254071661237785,0.254071661237785,0.254071661237785
5e93d4518369ab4b48ecda11,20200413,10,区环保局,62,良,颗粒物(PM10),39,74,0.7,13,124,102,10,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665
5e93d43e8369ab4b48ecd9fc,20200413,10,南郊,85,良,细颗粒物(PM2.5),63,94,1,24,112,101,10,0.8762214983713354,0.8762214983713354,0.8762214983713354,0.8762214983713354,0.8762214983713354,0.8762214983713354,0.8762214983713354,0.8762214983713354
5e93d3e28369ab4b48ecd998,20200413,10,明珠广场,60,良,颗粒物(PM10),41,70,0.6,28,77,27,10,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424
5e93d44e8369ab4b48ecda0e,20200413,10,小围寨,42,优,,22,42,0.6,21,25,27,10,0.2996742671009772,0.2996742671009772,0.2996742671009772,0.2996742671009772,0.2996742671009772,0.2996742671009772,0.2996742671009772,0.2996742671009772
5e93d43c8369ab4b48ecd9fa,20200413,10,振宁花园,40,优,,28,36,0.6,25,78,35,10,0.2703583061889251,0.2703583061889251,0.2703583061889251,0.2703583061889251,0.2703583061889251,0.2703583061889251,0.2703583061889251,0.2703583061889251
5e93d47e8369ab4b48ecda41,20200413,10,公园路,87,良,细颗粒物(PM2.5),64,112,0.8,15,123,85,10,0.8892508143322475,0.8892508143322475,0.8892508143322475,0.8892508143322475,0.8892508143322475,0.8892508143322475,0.8892508143322475,0.8892508143322475
5e93d4448369ab4b48ecda03,20200413,10,开发区,130,轻度污染,细颗粒物(PM2.5),99,110,0.9,51,130,79,105,0.08143322475570032,0.08143322475570032,0.08143322475570032,0.08143322475570032,0.08143322475570032,0.08143322475570032,0.08143322475570032,0.08143322475570032
5e93d45f8369ab4b48ecda21,20200413,10,十五厂,102,轻度污染,细颗粒物(PM2.5),76,100,1.5,48,94,80,11,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065,0.016286644951140065
5e93d4078369ab4b48ecd9c1,20200413,10,十五中,60,良,颗粒物(PM10),38,70,0.6,29,104,88,11,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424,0.5863192182410424
5e93d4378369ab4b48ecd9f4,20200413,10,嘉应大学,32,优,,22,29,0.8,19,91,45,11,0.1791530944625407,0.1791530944625407,0.1791530944625407,0.1791530944625407,0.1791530944625407,0.1791530944625407,0.1791530944625407,0.1791530944625407
5e93d3d38369ab4b48ecd988,20200413,10,马鞍山,47,优,,32,47,0.7,26,53,20,11,0.36482084690553745,0.36482084690553745,0.36482084690553745,0.36482084690553745,0.36482084690553745,0.36482084690553745,0.36482084690553745,0.36482084690553745
5e93d4618369ab4b48ecda23,20200413,10,环境监测站,72,良,颗粒物(PM10),37,94,0.3,28,102,45,11,0.739413680781759,0.739413680781759,0.739413680781759,0.739413680781759,0.739413680781759,0.739413680781759,0.739413680781759,0.739413680781759
5e93d48d8369ab4b48ecda52,20200413,10,瓯海,62,良,颗粒物(PM10),34,73,0.5,16,116,34,11,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665,0.6123778501628665
5e93d4a08369ab4b48ecda66,20200413,10,市环保监测站,26,优,,6,26,0.2,7,65,36,11,0.1465798045602606,0.1465798045602606,0.1465798045602606,0.1465798045602606,0.1465798045602606,0.1465798045602606,0.1465798045602606,0.1465798045602606
5e93d4af8369ab4b48ecda74,20200413,10,妇幼医院,44,优,,24,44,0.5,18,79,42,11,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525
5e93d4518369ab4b48ecda12,20200413,10,凤城街办,44,优,,21,44,0.4,25,77,84,11,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525,0.31921824104234525
5e93d4748369ab4b48ecda38,20200413,10,市委党校,77,良,颗粒物(PM10),49,104,1.6,54,,7,11,0.7980456026058632,0.7980456026058632,0.7980456026058632,0.7980456026058632,0.7980456026058632,0.7980456026058632,0.7980456026058632,0.7980456026058632
5e93d3e58369ab4b48ecd99b,20200413,10,电机北厂,75,良,颗粒物(PM10),54,99,0.9,36,90,97,11,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.7785016286644951
5e93d4bd8369ab4b48ecda83,20200413,10,宜兴市环保局,80,良,细颗粒物(PM2.5),59,102,0.8,47,86,67,11,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994,0.8371335504885994
5e93d3ef8369ab4b48ecd9a6,20200413,10,职工中心,57,良,颗粒物(PM10),38,64,0.7,34,74,63,11,0.5342019543973942,0.5342019543973942,0.5342019543973942,0.5342019543973942,0.5342019543973942,0.5342019543973942,0.5342019543973942,0.5342019543973942
