,AQI,CO,Date,Hour,Level,NO2,O3_1h,O3_8h,PM10,PM25,PrimaryPollution,SO2,WatchPoint,_id,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
329,34,1.3,20200410,20,优,31,45,51,34,21,NaN,1,运城中学,5e90715a690d8b21f9292727,0.1792717086834734,0.1792717086834734,0.1792717086834734,0.1792717086834734,0.1792717086834734,0.1792717086834734,0.1792717086834734,0.1792717086834734
89,196,0.3,20200410,20,中度污染,8,87,93,342,90,颗粒物(PM10),1,地区监测站,5e907070690d8b21f9292630,0.0700280112044818,0.0700280112044818,0.0700280112044818,0.0700280112044818,0.0700280112044818,0.0700280112044818,0.0700280112044818,0.0700280112044818
188,49,0.7,20200410,20,优,12,89,93,49,29,NaN,1,西山风景区,5e9070d1690d8b21f9292696,0.36134453781512604,0.36134453781512604,0.36134453781512604,0.36134453781512604,0.36134453781512604,0.36134453781512604,0.36134453781512604,0.36134453781512604
250,52,0.5,20200410,20,良,17,80,88,38,36,细颗粒物(PM2.5),1,宿迁学院,5e90710e690d8b21f92926d7,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803,0.39215686274509803
106,62,0.6,20200410,20,良,32,55,63,54,44,细颗粒物(PM2.5),1,监测站,5e907081690d8b21f9292641,0.6162464985994398,0.6162464985994398,0.6162464985994398,0.6162464985994398,0.6162464985994398,0.6162464985994398,0.6162464985994398,0.6162464985994398
15,66,0.5,20200410,20,良,20,97,110,82,45,颗粒物(PM10),10,游泳馆,5e907028690d8b21f92925e5,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216
313,59,0.6,20200410,20,良,41,88,116,68,17,颗粒物(PM10),10,开发区,5e90714b690d8b21f9292717,0.5546218487394958,0.5546218487394958,0.5546218487394958,0.5546218487394958,0.5546218487394958,0.5546218487394958,0.5546218487394958,0.5546218487394958
158,64,0.5,20200410,20,良,7,120,118,78,16,颗粒物(PM10),10,青龙寺,5e9070b2690d8b21f9292677,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.6554621848739496
181,63,0.7,20200410,20,良,35,92,119,75,36,颗粒物(PM10),10,湖东路四小,5e9070cb690d8b21f929268f,0.6358543417366946,0.6358543417366946,0.6358543417366946,0.6358543417366946,0.6358543417366946,0.6358543417366946,0.6358543417366946,0.6358543417366946
33,48,0.3,20200410,20,优,-,105,105,48,18,NaN,10,海虞子站,5e90703a690d8b21f92925f8,0.3473389355742297,0.3473389355742297,0.3473389355742297,0.3473389355742297,0.3473389355742297,0.3473389355742297,0.3473389355742297,0.3473389355742297
140,145,0.9,20200410,20,轻度污染,25,122,132,-,111,细颗粒物(PM2.5),10,十里,5e9070a2690d8b21f9292664,0.05042016806722689,0.05042016806722689,0.05042016806722689,0.05042016806722689,0.05042016806722689,0.05042016806722689,0.05042016806722689,0.05042016806722689
219,54,0.6,20200410,20,良,14,111,132,57,26,颗粒物(PM10),10,环境监测站,5e9070ef690d8b21f92926b6,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.45098039215686275
232,43,0.5,20200410,20,优,9,135,140,27,21,NaN,10,市环保局,5e9070fd690d8b21f92926c5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
